document_id,pid,source_filename,checksum_sha256,title,creator,date_text,document_type,archive_reference,page_count,ocr_status,ingestion_status,ingestion_error,chunk_count,ingestion_version,corpus_version,source_uri,source_path,authority_id,archive_record_id,archive_record_pid,metadata_source,access_level,rights_note,ml_pages,ml_annotation,record_title,record_public_uri
doc_287080879712_1792eb9dbc26,287080879712,73876e511e303a5260d1ef013423c6b4bf95e481889b5252e8e60f5bd72eb2a3.pdf,,Design Dimension Project proposed publications,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/73876e511e303a5260d1ef013423c6b4bf95e481889b5252e8e60f5bd72eb2a3__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_35b25fe8a980,287080879712,7beb18238ba0a45073f8691c408c26263ed4b77d0ca762e26d09266d68427ca0.pdf,,"Ken Baynes 'Defining a design dimension of the curriculum' paper for the NSAE conference, Bath",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/7beb18238ba0a45073f8691c408c26263ed4b77d0ca762e26d09266d68427ca0__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_356f23691035,287080879712,89bfaa19fbf307e790a5920eda25dc35d9fcab6533b6e05baa8d6e51507f5df5.pdf,,"DEU student course and assessment papers, spring term",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/89bfaa19fbf307e790a5920eda25dc35d9fcab6533b6e05baa8d6e51507f5df5__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_2e6d662891e1,287080879712,929b8eb8f1ace8a670c4be70be3a1f76fcb277f2b1b7afd36a20b6dc2f6a18d6.pdf,,Phil Roberts discussion notes for research methods and design cirriculum studies,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/929b8eb8f1ace8a670c4be70be3a1f76fcb277f2b1b7afd36a20b6dc2f6a18d6__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_844b238fcca7,287080879712,95bd6ebc6c2089005bfd52e1a367b1a5f612bbb3b5e4dc718cb5d0e131d3bab6.pdf,,Ken Baynes memorandum concerning DEU/DCH future plans and Department of Trade and Industry commission,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/95bd6ebc6c2089005bfd52e1a367b1a5f612bbb3b5e4dc718cb5d0e131d3bab6__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_5ce8ea377e40,287080879712,979b66f9816fd7f92647cf9b88f3d414b8ab60085a32004c824a778b09316e9b.pdf,,"Phil Roberts paper on design, technical drawing and the craftsman as educational model",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/979b66f9816fd7f92647cf9b88f3d414b8ab60085a32004c824a778b09316e9b__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_3acd58dd92d9,287080879712,a3c1c292b8f8417001c891563e0f3e6b7574206cd09aba368f31b214b3273545.pdf,,"A five year programme for design in general education, 2nd draft",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/a3c1c292b8f8417001c891563e0f3e6b7574206cd09aba368f31b214b3273545__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_8a4a19ab2e96,287080879712,a6f59bfa77abcf5fe85052979185269cafb7f23089aeec446a6de632769a7810.pdf,,Ken Baynes proposal for redevelopment of the DEU as a national centre for research and developemt in design education,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/a6f59bfa77abcf5fe85052979185269cafb7f23089aeec446a6de632769a7810__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_a707f6dafdea,287080879712,ab8f56929e000b69a41ff37138050a96ed959ca59eae1bd0d39d74f373a327a4.pdf,,Ken Baynes letter concerning Design Education Unit appointments,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/ab8f56929e000b69a41ff37138050a96ed959ca59eae1bd0d39d74f373a327a4__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_4d4ff9778bb4,287080879712,caa5a13d26c939ce21e7f125b48ab5410d73efbd41c0945f3b35f9104884a88d.pdf,,Design Education Unit discussion papers on computers in art and design,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/caa5a13d26c939ce21e7f125b48ab5410d73efbd41c0945f3b35f9104884a88d__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_973e8aad0e85,287080879712,e79dae4491213ed21a4bdca1d6b1778d7974fe2771a89a0bfc5b2da3f9fcb91d.pdf,,"Design Dimension project aims, methods and content paper",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/e79dae4491213ed21a4bdca1d6b1778d7974fe2771a89a0bfc5b2da3f9fcb91d__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_00ce07e484d9,287080879712,f7993a64f0789f03036edccd29747c53db280a6565e6c37c3d9bc26c8cb53d03.pdf,,"Summary and recommendations, design in general education, part one",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/f7993a64f0789f03036edccd29747c53db280a6565e6c37c3d9bc26c8cb53d03__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_321843234637_7444bf8b9399,321843234637,3c155ac59db6688d8b4764b51f93ac74d301df926dd809152056ab4702ef69b3.pdf,,"Bruce Archer introductory lecture course outline, 'The designerly approach to knowledge'",,1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/321843234637/master/3c155ac59db6688d8b4764b51f93ac74d301df926dd809152056ab4702ef69b3__pdf_master__v1.pdf,,137,152,989478384551,archive_graphql.records_v1,,The Board and Trustees of the Victoria and Albert Museum,,,DDR teaching and learning practice lectures,https://ddrarchive.org/id/record/989478384551
